Priority,Platform,Submission URL,Directory/Profile URL,Status,Use Public Address?,Category To Try,Website URL To Use,Next Action,Notes
1,Google Business Profile,https://www.google.com/business/,https://share.google/mEaXz7iDvZvZ3tmnn,Live - keep optimizing,No unless public address exists,Real estate consultant,https://americahomebuyersnc.com/,Weekly updates,"Website updated to new domain. Add photos weekly, reply to reviews, ask for steady reviews."
1,Bing Places,https://www.bing.com/forbusiness/,TBD,Needs claim/create,No unless public address exists,Real estate consultant,https://americahomebuyersnc.com/,Create or import listing,"Important for Bing, Microsoft surfaces, maps, and AI/search visibility."
1,Apple Business,https://business.apple.com/,TBD,Needs claim/create,No unless public address exists,Real estate services,https://americahomebuyersnc.com/,Claim/create business,"Important for Apple Maps and Siri. Add logo, photos, phone, website, service details."
1,Yelp Business,https://business.yelp.com/,TBD,Needs claim/create,No unless public address exists,Real estate services,https://americahomebuyersnc.com/reviews.html,Claim/create only if address can stay private,"Do not pay for ads until organic basics are complete."
1,Facebook Page,https://www.facebook.com/pages/create,https://www.facebook.com/profile.php?id=100085293652225,Live - verify and keep optimizing,No unless public address exists,Real estate investment company,https://americahomebuyersnc.com/,Keep website phone and service area aligned,"Public profile verified through the Google Business Profile result on 2026-07-31. Add real photos and reply to recommendations if enabled."
1,LinkedIn Company Page,https://www.linkedin.com/company/setup/new/,TBD,Needs create,No,Real estate,https://americahomebuyersnc.com/about.html,Create company page,"Good entity legitimacy signal. Link Toby and company where appropriate."
1,Nextdoor Business,https://nextdoor.com/create-business,TBD,Needs create/claim,Service-area preferred,Real estate services,https://americahomebuyersnc.com/,Create/claim business page,"Good for neighborhood trust. Avoid paid ads until profile is complete."
2,BBB Business Profile,https://www.bbb.org/get-accredited,TBD,Needs evaluate,Service-area preferred,Real estate services,https://americahomebuyersnc.com/reviews.html,Evaluate free listing vs paid accreditation,"Paid accreditation is optional; evaluate cost first."
2,Alignable,https://www.alignable.com/,TBD,Needs create,Service-area preferred,Real estate investor,https://americahomebuyersnc.com/,Create profile,"Connect with local contractors, attorneys, property managers, agents."
2,Thomasville Area Chamber,https://www.thomasvillechamber.net/,https://business.thomasvillechamber.net/list,Research membership cost,Service-area preferred,Real Estate Investors,https://americahomebuyersnc.com/we-buy-houses-thomasville-nc/,Ask about membership/listing,"Directory has Real Estate Investors category. Strong Davidson County relevance."
2,Lexington Area Chamber,https://www.lexingtonchamber.net/join-the-chamber/,https://lexingtonchamber.chambermaster.com/list/,Research membership cost,Service-area preferred,Real Estate,https://americahomebuyersnc.com/sell-my-house-fast-lexington-nc/,Submit join form or ask about service-area listing,"Good local relevance for Davidson County."
2,Business High Point Chamber,https://members.bhpchamber.org/member/newmemberapp/,https://members.bhpchamber.org/list/,Research membership cost,Service-area preferred,Real Estate,https://americahomebuyersnc.com/cash-home-buyers-high-point-nc/,Ask about membership/listing,"Good local relevance for High Point search."
2,Greensboro Chamber,https://greensboro.org/,https://chamber.greensboro.org/list/,Research membership cost,Service-area preferred,Real Estate,https://americahomebuyersnc.com/we-buy-houses-greensboro-nc/,Ask about membership/listing,"Good local relevance for Greensboro search."
2,Greater Winston-Salem Inc.,https://www.winstonsalem.com/join/,https://www.winstonsalem.com/member-directory/,Research membership cost,Service-area preferred,Real Estate,https://americahomebuyersnc.com/sell-my-house-fast-winston-salem-nc/,Ask about membership/listing,"Good local relevance for Forsyth County search."
2,Asheboro/Randolph Chamber,https://www.ashranchamber.com/,https://www.ashranchamber.com/,Research membership cost,Service-area preferred,Real Estate,https://americahomebuyersnc.com/sell-my-house-fast-asheboro-nc/,Ask about membership/listing,"Good local relevance for Randolph County search."
3,Closing attorney/vendor partner pages,TBD,TBD,Needs outreach,N/A,Partner/resource mention,https://americahomebuyersnc.com/cash-home-buyer-checklist.html,Ask trusted vendors for resource link,"Relationship links are more valuable than random directories."
3,Contractor/cleanout partner pages,TBD,TBD,Needs outreach,N/A,Project partner mention,https://americahomebuyersnc.com/projects.html,Ask vendors for project partner mention,"Strong proof if tied to real project work."
3,Local investor groups,TBD,TBD,Needs research,N/A,Member profile,https://americahomebuyersnc.com/,Research legitimate local groups,"Only use real local groups, not spam directories."
